id.orig_p,id.resp_h,missed_bytes,resp_bytes,resp_pkts,id.resp_p,conn_state,orig_pkts,proto,id.orig_h,duration,orig_bytes,proto_enc,ai_label,ai_anomalie,ai_score
49968,52.175.242.182,0,3100.0,10,443,RSTR,11,tcp,10.1.17.215,127.55223107337952,1303.0,1,NORMAL,False,0.25
49969,23.41.240.115,0,7658.0,11,443,SF,10,tcp,10.1.17.215,158.848042011261,671.0,1,NORMAL,False,0.14
59407,10.1.17.2,0,2519.0,23,53,SF,24,udp,10.1.17.215,164.4335539340973,834.0,2,NORMAL,False,0.257
138,10.1.17.255,0,0.0,0,138,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
51347,10.1.17.2,0,124.0,1,53,SF,1,udp,10.1.17.215,0.0003540515899658,42.0,2,NORMAL,False,0.0
137,10.1.17.255,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
137,10.1.17.2,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
49970,52.113.194.132,0,8236.0,15,443,SF,13,tcp,10.1.17.215,72.4777729511261,1748.0,1,ANOMALIE,True,0.575
138,10.1.17.255,0,0.0,0,138,S0,8,udp,10.1.17.215,9.047651052474976,1536.0,2,NORMAL,False,0.1175
49971,52.113.194.132,0,7368.0,12,443,RSTR,8,tcp,10.1.17.215,67.64822912216187,1585.0,1,ANOMALIE,True,0.62
65409,10.1.17.2,0,2244.0,21,53,SF,21,udp,10.1.17.215,144.3669719696045,742.0,2,NORMAL,False,0.152
49951,45.125.66.252,0,4770.0,236,443,S1,122,tcp,10.1.17.215,591.3352568149567,3683.0,1,ANOMALIE,True,0.545
49689,5.252.153.241,0,1200466.0,1718,80,S1,1382,tcp,10.1.17.215,2592.042750120163,24688.0,1,NORMAL,False,0.075
49675,20.10.31.115,0,5721.0,26,443,S1,29,tcp,10.1.17.215,2441.875806093216,2979.0,1,NORMAL,False,0.325
49799,10.1.17.2,0,184.0,1,53,SF,2,udp,10.1.17.215,0.0459189414978027,94.0,2,NORMAL,False,0.105
60461,10.1.17.2,0,608.0,5,53,SF,6,udp,10.1.17.215,28.72957706451416,234.0,2,NORMAL,False,0.1267
123,10.1.17.2,0,120.0,1,123,SF,1,udp,10.1.17.215,0.0018508434295654,120.0,2,NORMAL,False,0.0
49861,204.79.197.203,0,5586.0,14,443,SF,12,tcp,10.1.17.215,110.0026957988739,885.0,1,NORMAL,False,0.135
61067,10.1.17.2,0,1434.0,13,53,SF,14,udp,10.1.17.215,86.05243587493896,524.0,2,NORMAL,False,0.127
5353,224.0.0.251,0,0.0,0,5353,S0,2,udp,10.1.17.215,1.0111479759216309,86.0,2,NORMAL,False,0.01
49865,23.40.146.4,0,7659.0,11,443,SF,11,tcp,10.1.17.215,90.35729098320007,671.0,1,NORMAL,False,0.19
49864,52.158.246.138,0,3102.0,10,443,SF,13,tcp,10.1.17.215,92.25628805160522,1301.0,1,NORMAL,False,0.215
137,10.1.17.255,0,0.0,0,137,S0,2,udp,10.1.17.215,0.0053398609161376,118.0,2,NORMAL,False,0.0
137,10.1.17.2,0,309.0,2,137,SF,2,udp,10.1.17.215,0.0059790611267089,112.0,2,NORMAL,False,0.1086
51347,10.1.17.2,0,124.0,1,53,SF,1,udp,10.1.17.215,0.0003759860992431,42.0,2,NORMAL,False,0.0
138,10.1.17.255,0,0.0,0,138,S0,8,udp,10.1.17.215,9.045307159423828,1536.0,2,NORMAL,False,0.1175
5353,224.0.0.251,0,0.0,0,5353,S0,2,udp,10.1.17.215,0.9979808330535888,86.0,2,NORMAL,False,0.01
137,10.1.17.255,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
137,10.1.17.2,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
49869,10.1.17.2,0,3692.0,9,389,RSTR,9,tcp,10.1.17.215,0.0046401023864746,2617.0,1,NORMAL,False,0.055
49868,10.1.17.2,0,3659.0,10,389,RSTR,11,tcp,10.1.17.215,0.0117580890655517,3147.0,1,NORMAL,False,0.04
49866,10.1.17.2,0,644.0,4,135,RSTO,6,tcp,10.1.17.215,0.0299451351165771,496.0,1,NORMAL,False,0.0
49867,10.1.17.2,0,1869.0,10,49668,RSTO,12,tcp,10.1.17.215,0.0260159969329834,3815.0,1,NORMAL,False,0.0
138,10.1.17.255,0,0.0,0,138,S0,8,udp,10.1.17.215,9.052273988723757,1536.0,2,NORMAL,False,0.1175
49888,10.1.17.2,0,208.0,1,389,SF,1,udp,10.1.17.215,0.0005731582641601,233.0,2,NORMAL,False,0.3492
138,10.1.17.255,0,0.0,0,138,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
49887,10.1.17.2,0,8934.0,83,53,SF,84,udp,10.1.17.215,601.1958839893341,3031.0,2,NORMAL,False,0.232
49874,10.1.17.2,0,3692.0,8,389,RSTR,9,tcp,10.1.17.215,0.0056269168853759,2599.0,1,NORMAL,False,0.055
49873,10.1.17.2,0,3659.0,9,389,RSTR,10,tcp,10.1.17.215,0.0155160427093505,3129.0,1,NORMAL,False,0.04
49872,10.1.17.2,0,1869.0,10,49668,RSTO,13,tcp,10.1.17.215,0.3956491947174072,3797.0,1,NORMAL,False,0.0
49871,10.1.17.2,0,644.0,4,135,RSTO,7,tcp,10.1.17.215,0.4000179767608642,496.0,1,NORMAL,False,0.0
49875,40.126.29.9,0,5158.0,9,443,RSTO,13,tcp,10.1.17.215,0.2925209999084472,1040.0,1,NORMAL,False,0.03
5353,224.0.0.251,0,0.0,0,5353,S0,2,udp,10.1.17.215,0.9980959892272948,86.0,2,NORMAL,False,0.01
52760,10.1.17.2,0,596.0,4,53,SF,5,udp,10.1.17.215,17.651113986968994,191.0,2,NORMAL,False,0.1128
62994,10.1.17.2,0,849.0,6,53,SF,7,udp,10.1.17.215,30.92300796508789,257.0,2,NORMAL,False,0.1048
59119,10.1.17.2,0,106.0,1,53,SF,2,udp,10.1.17.215,0.0693819522857666,70.0,2,NORMAL,False,0.0
49877,45.125.66.32,0,2598459.0,1920,2917,SF,961,tcp,10.1.17.215,2.2520711421966557,1187.0,1,NORMAL,False,0.245
49889,10.1.17.2,0,3692.0,8,389,RSTR,9,tcp,10.1.17.215,0.0058841705322265,2599.0,1,NORMAL,False,0.055
49888,10.1.17.2,0,3659.0,9,389,RSTR,11,tcp,10.1.17.215,0.0156137943267822,3129.0,1,NORMAL,False,0.04
49880,13.107.42.16,0,7726.0,17,443,RSTO,14,tcp,10.1.17.215,0.315079927444458,3058.0,1,NORMAL,False,0.0
49881,13.107.246.57,0,9001.0,17,443,RSTO,14,tcp,10.1.17.215,0.3150801658630371,3048.0,1,NORMAL,False,0.005
